monkey;task;reactionTime;outcome;stimulus;my_col
b;Artificial Discrimination;1,691;correct;ctr;1,691
b;Artificial Discrimination;3,958;correct;ctr;3,958
b;Artificial Discrimination;1,622;correct;str;1,622
b;Artificial Discrimination;1,237;correct;ctr;1,237
b;Artificial Discrimination;2,587;correct;ctr;2,587
b;Artificial Discrimination;2,231;correct;ctr;2,231
b;Artificial Discrimination;1,874;correct;str;1,874
b;Artificial Discrimination;1,494;correct;str;1,494
b;Artificial Discrimination;1,684;correct;str;1,684
b;Artificial Discrimination;1,262;correct;ctr;1,262
b;Artificial Discrimination;4,24;correct;ctr;4,24
b;Artificial Discrimination;1,211;correct;ctr;1,211
b;Artificial Discrimination;3,342;correct;ctr;3,342
b;Artificial Discrimination;1,615;correct;str;1,615
b;Artificial Discrimination;2,17;correct;ctr;2,17
b;Artificial Discrimination;1,419;correct;str;1,419
b;Artificial Discrimination;1,911;correct;str;1,911
b;Artificial Discrimination;1,713;correct;str;1,713
b;Artificial Discrimination;2,286;correct;ctr;2,286
b;Artificial Discrimination;1,167;correct;ctr;1,167
b;Artificial Discrimination;2,869;correct;ctr;2,869
b;Artificial Discrimination;3,149;correct;str;3,149
b;Artificial Discrimination;2,194;correct;str;2,194
b;Artificial Discrimination;1,911;correct;ctr;1,911
b;Artificial Discrimination;2,13;correct;str;2,13
b;Artificial Discrimination;2,002;correct;ctr;2,002
b;Artificial Discrimination;2,455;correct;ctr;2,455
b;Artificial Discrimination;2,294;correct;ctr;2,294
b;Artificial Discrimination;3,0;correct;str;3,0
b;Artificial Discrimination;1,748;correct;str;1,748
b;Artificial Discrimination;2,064;correct;ctr;2,064
b;Artificial Discrimination;4,763;correct;str;4,763
b;Artificial Discrimination;1,746;correct;str;1,746
b;Artificial Discrimination;2,515;correct;ctr;2,515
b;Artificial Discrimination;2,234;correct;str;2,234
b;Artificial Discrimination;1,562;correct;str;1,562
b;Artificial Discrimination;1,53;correct;str;1,53
b;Artificial Discrimination;3,675;correct;str;3,675
b;Artificial Discrimination;1,686;correct;str;1,686
b;Artificial Discrimination;2,397;correct;str;2,397
b;Artificial Discrimination;3,896;correct;str;3,896
b;Artificial Discrimination;2,999;correct;ctr;2,999
b;Artificial Discrimination;2,046;correct;ctr;2,046
b;Artificial Discrimination;3,575;correct;ctr;3,575
b;Artificial Discrimination;1,788;correct;str;1,788
b;Artificial Discrimination;3,478;correct;ctr;3,478
b;Artificial Discrimination;2,17;correct;ctr;2,17
b;Artificial Discrimination;2,841;correct;ctr;2,841
b;Artificial Discrimination;2,167;correct;ctr;2,167
b;Artificial Discrimination;3,196;correct;ctr;3,196
b;Artificial Discrimination;1,781;correct;str;1,781
b;Artificial Discrimination;2,682;correct;ctr;2,682
b;Artificial Discrimination;1,88;correct;str;1,88
b;Artificial Discrimination;1,917;correct;str;1,917
b;Artificial Discrimination;2,778;correct;ctr;2,778
b;Artificial Discrimination;2,135;correct;ctr;2,135
b;Artificial Discrimination;2,04;correct;ctr;2,04
b;Artificial Discrimination;2,14;correct;str;2,14
b;Artificial Discrimination;2,366;correct;str;2,366
b;Artificial Discrimination;2,381;correct;str;2,381
b;Artificial Discrimination;1,527;correct;ctr;1,527
b;Artificial Discrimination;1,246;correct;ctr;1,246
b;Artificial Discrimination;1,81;correct;str;1,81
b;Artificial Discrimination;2,165;correct;str;2,165
b;Artificial Discrimination;2,166;correct;ctr;2,166
b;Artificial Discrimination;1,938;correct;str;1,938
b;Artificial Discrimination;4,66;correct;ctr;4,66
b;Artificial Discrimination;3,344;correct;ctr;3,344
b;Artificial Discrimination;2,132;correct;ctr;2,132
b;Artificial Discrimination;3,571;correct;str;3,571
b;Artificial Discrimination;2,063;correct;ctr;2,063
b;Artificial Discrimination;1,746;correct;str;1,746
b;Artificial Discrimination;2,101;correct;str;2,101
b;Artificial Discrimination;1,517;correct;ctr;1,517
b;Artificial Discrimination;1,617;correct;str;1,617
b;Artificial Discrimination;2,325;correct;ctr;2,325
b;Artificial Discrimination;1,714;correct;str;1,714
b;Artificial Discrimination;1,946;correct;ctr;1,946
b;Artificial Discrimination;1,782;correct;str;1,782
b;Artificial Discrimination;1,728;correct;str;1,728
b;Artificial Discrimination;1,906;correct;str;1,906
b;Artificial Discrimination;4,181;correct;ctr;4,181
b;Artificial Discrimination;1,551;correct;str;1,551
b;Artificial Discrimination;1,976;correct;str;1,976
b;Artificial Discrimination;2,203;correct;str;2,203
b;Artificial Discrimination;3,804;correct;ctr;3,804
b;Artificial Discrimination;1,938;correct;str;1,938
b;Artificial Discrimination;3,154;correct;ctr;3,154
b;Artificial Discrimination;2,454;correct;str;2,454
b;Artificial Discrimination;2,102;correct;ctr;2,102
b;Artificial Discrimination;4,918;correct;ctr;4,918
b;Artificial Discrimination;1,68;correct;str;1,68
b;Artificial Discrimination;2,463;correct;str;2,463
b;Artificial Discrimination;3,167;correct;str;3,167
b;Artificial Discrimination;2,446;correct;str;2,446
b;Artificial Discrimination;3,036;correct;ctr;3,036
b;Artificial Discrimination;2,159;correct;ctr;2,159
b;Artificial Discrimination;3,124;correct;ctr;3,124
b;Artificial Discrimination;3,796;correct;ctr;3,796
b;Artificial Discrimination;4,923;correct;ctr;4,923
b;Artificial Discrimination;2,49;correct;ctr;2,49
b;Artificial Discrimination;2,463;correct;ctr;2,463
b;Artificial Discrimination;4,569;correct;ctr;4,569
b;Artificial Discrimination;1,685;correct;str;1,685
b;Artificial Discrimination;3,387;correct;str;3,387
b;Artificial Discrimination;2,651;correct;ctr;2,651
b;Artificial Discrimination;2,714;correct;ctr;2,714
b;Artificial Discrimination;2,297;correct;str;2,297
b;Artificial Discrimination;1,814;correct;str;1,814
b;Artificial Discrimination;2,133;correct;str;2,133
b;Artificial Discrimination;2,579;correct;str;2,579
b;Artificial Discrimination;1,746;correct;ctr;1,746
b;Artificial Discrimination;1,232;correct;ctr;1,232
b;Artificial Discrimination;1,398;correct;ctr;1,398
b;Artificial Discrimination;2,553;correct;ctr;2,553
b;Artificial Discrimination;2,742;correct;ctr;2,742
b;Artificial Discrimination;1,724;correct;str;1,724
b;Artificial Discrimination;1,934;correct;ctr;1,934
b;Artificial Discrimination;2,224;correct;str;2,224
b;Artificial Discrimination;1,398;correct;str;1,398
b;Artificial Discrimination;2,682;correct;str;2,682
b;Artificial Discrimination;4,371;correct;str;4,371
b;Artificial Discrimination;1,403;correct;str;1,403
b;Artificial Discrimination;2,419;correct;str;2,419
b;Artificial Discrimination;2,323;correct;str;2,323
b;Artificial Discrimination;1,689;correct;str;1,689
b;Artificial Discrimination;3,086;correct;str;3,086
b;Artificial Discrimination;2,193;correct;ctr;2,193
b;Artificial Discrimination;2,257;correct;ctr;2,257
b;Artificial Discrimination;2,104;correct;ctr;2,104
b;Artificial Discrimination;2,137;correct;ctr;2,137
b;Artificial Discrimination;2,29;correct;str;2,29
b;Artificial Discrimination;2,098;correct;str;2,098
b;Artificial Discrimination;1,947;correct;ctr;1,947
b;Artificial Discrimination;2,046;correct;str;2,046
b;Artificial Discrimination;2,976;correct;ctr;2,976
b;Artificial Discrimination;1,755;correct;ctr;1,755
b;Artificial Discrimination;2,041;correct;str;2,041
b;Artificial Discrimination;3,348;correct;ctr;3,348
b;Artificial Discrimination;2,842;correct;ctr;2,842
b;Artificial Discrimination;2,008;correct;str;2,008
b;Artificial Discrimination;1,624;correct;ctr;1,624
b;Artificial Discrimination;2,075;correct;ctr;2,075
b;Artificial Discrimination;2,295;correct;str;2,295
b;Artificial Discrimination;1,876;correct;ctr;1,876
b;Artificial Discrimination;3,033;correct;str;3,033
e;Artificial Discrimination;3,307;correct;str;3,307
e;Artificial Discrimination;3,03;correct;ctr;3,03
e;Artificial Discrimination;0,981;correct;str;0,981
e;Artificial Discrimination;0,951;correct;str;0,951
e;Artificial Discrimination;1,048;correct;ctr;1,048
e;Artificial Discrimination;1,045;correct;str;1,045
e;Artificial Discrimination;1,398;correct;ctr;1,398
e;Artificial Discrimination;1,685;correct;str;1,685
e;Artificial Discrimination;4,502;correct;str;4,502
e;Artificial Discrimination;2,037;correct;ctr;2,037
e;Artificial Discrimination;1,203;correct;ctr;1,203
e;Artificial Discrimination;2,484;correct;ctr;2,484
e;Artificial Discrimination;1,077;correct;str;1,077
e;Artificial Discrimination;3,381;correct;str;3,381
e;Artificial Discrimination;1,145;correct;str;1,145
e;Artificial Discrimination;4,149;correct;str;4,149
e;Artificial Discrimination;4,153;correct;ctr;4,153
e;Artificial Discrimination;3,769;correct;str;3,769
e;Artificial Discrimination;3,095;correct;str;3,095
e;Artificial Discrimination;1,08;correct;str;1,08
e;Artificial Discrimination;0,89;correct;str;0,89
e;Artificial Discrimination;3,449;correct;str;3,449
e;Artificial Discrimination;2,169;correct;ctr;2,169
e;Artificial Discrimination;3,742;correct;ctr;3,742
e;Artificial Discrimination;3,508;correct;ctr;3,508
e;Artificial Discrimination;1,814;correct;str;1,814
e;Artificial Discrimination;0,947;correct;ctr;0,947
e;Artificial Discrimination;3,415;correct;ctr;3,415
e;Artificial Discrimination;0,633;correct;str;0,633
e;Artificial Discrimination;3,026;correct;ctr;3,026
e;Artificial Discrimination;1,371;correct;ctr;1,371
e;Artificial Discrimination;4,248;correct;str;4,248
e;Artificial Discrimination;3,254;correct;str;3,254
e;Artificial Discrimination;4,404;correct;ctr;4,404
e;Artificial Discrimination;3,521;correct;str;3,521
e;Artificial Discrimination;2,231;correct;str;2,231
e;Artificial Discrimination;0,763;correct;str;0,763
e;Artificial Discrimination;4,47;correct;ctr;4,47
e;Artificial Discrimination;4,859;correct;ctr;4,859
e;Artificial Discrimination;3,087;correct;ctr;3,087
e;Artificial Discrimination;1,492;correct;ctr;1,492
e;Artificial Discrimination;3,662;correct;str;3,662
e;Artificial Discrimination;2,513;correct;ctr;2,513
e;Artificial Discrimination;4,552;correct;ctr;4,552
e;Artificial Discrimination;1,757;correct;str;1,757
e;Artificial Discrimination;1,889;correct;ctr;1,889
e;Artificial Discrimination;2,271;correct;str;2,271
e;Artificial Discrimination;2,297;correct;str;2,297
e;Artificial Discrimination;4,348;correct;str;4,348
e;Artificial Discrimination;0,665;correct;str;0,665
e;Artificial Discrimination;0,758;correct;ctr;0,758
e;Artificial Discrimination;0,792;correct;ctr;0,792
e;Artificial Discrimination;2,872;correct;ctr;2,872
e;Artificial Discrimination;0,664;correct;str;0,664
e;Artificial Discrimination;1,463;correct;str;1,463
