monkey;trials;sessions;zerotrials
a;31081.0;220;5
b;28222.0;220;9
c;16181.0;87;5
d;25941.0;192;33
e;9822.0;58;0
f;9901.0;87;19
g;17296.0;104;8
h;23157.0;104;8
i;10265.0;186;42
j;32585.0;135;27
k;33424.0;130;18
l;1212.0;8;0
m;975.0;22;7
n;168.0;22;17
